Data for December 1, 2017 through March 31, 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt, TotalSnowfall, mcnt, MeanSnowDepth, mcnt
Barrow Area, ThreadEx, -, -, -, 1.1, 0, 0, 0, 0, 0, 1.36, 1, 16.4, 1, 8.7, 0
Bettles Area, ThreadEx, -, -, -, 2.0, 0, 0, 0, 0, 0, 4.10, 0, 69.0, 0, 32.4, 0
Cold Bay Area, ThreadEx, -, -, -, 33.8, 0, 0, 0, 0, 0, 13.09, 1, 39.2, 3, 1.3, 3
Fairbanks Area, ThreadEx, -, -, -, 5.4, 0, 0, 0, 0, 0, 3.62, 0, 53.4, 0, 20.2, 0
Gulkana Area, ThreadEx, -, -, -, 5.1, 0, 0, 0, 0, 0, 4.49, 5, M, 121, M, 121
Homer Area, ThreadEx, -, -, -, 30.1, 0, 0, 0, 0, 0, 8.05, 5, M, 121, M, 121
Juneau Area, ThreadEx, -, -, -, 28.9, 0, 0, 0, 0, 0, 18.65, 0, 51.8, 0, 2.3, 0
Mcgrath Area, ThreadEx, -, -, -, 10.9, 0, 0, 0, 0, 0, 3.80, 0, 53.8, 1, 18.4, 0
Nome Area, ThreadEx, -, -, -, 16.1, 0, 0, 0, 0, 0, 5.96, 0, 75.7, 0, 31.9, 0
Kotzebue Area, ThreadEx, -, -, -, 11.2, 0, 0, 0, 0, 0, 5.08, 0, 62.7, 0, 56.0, 48
St Paul Island Area, ThreadEx, -, -, -, 32.6, 0, 0, 0, 0, 0, 7.41, 0, 15.9, 11, 0.5, 3
Talkeetna Area, ThreadEx, -, -, -, 18.6, 0, 0, 0, 0, 0, 6.20, 0, M, 121, M, 121
Yakutat Area, ThreadEx, -, -, -, 31.1, 8, 0, 7, 0, 7, 35.29, 7, 39.2, 28, 4.8, 30
ANCHORAGE UPPER DE ARMOUN, COOP, -149.717, 61.103, 1335, 25.2, 0, 0, 0, 0, 0, 5.20, 0, 51.5, 23, 7.0, 1
ST. PAUL 4 NE, WBAN, -170.212, 57.158, 20, 32.5, 0, 0, 0, 0, 0, 8.03, 0, M, 121, M, 121
SITKA 1 NE, WBAN, -135.327, 57.057, 78, 34.6, 0, 0, 0, 0, 0, 23.71, 0, M, 121, M, 121
ANCHORAGE RABBIT CREEK #2, COOP, -149.756, 61.088, 913, 22.6, 0, 0, 0, 0, 0, 4.83, 0, 40.9, 2, 4.3, 4
MANLEY HOT SPRINGS DOT, COOP, -150.613, 65.007, 345, 11.4, 13, 0, 13, 0, 13, M, 121, M, 121, M, 121
AMBER LAKE, COOP, -150.503, 62.193, 449, 20.4, 0, 0, 0, 0, 0, 6.64, 0, 79.3, 0, 20.8, 0
